Date,Scheme,NAV
2022-01-03,Scheme_1,49.690440332312164
2022-01-04,Scheme_1,49.774641326246154
2022-01-05,Scheme_1,49.849064691551156
2022-01-06,Scheme_1,50.105915807040915
2022-01-07,Scheme_1,49.96539924423395
2022-01-10,Scheme_1,49.83919418872501
2022-01-11,Scheme_1,49.701792472960854
2022-01-12,Scheme_1,49.477119785060495
2022-01-13,Scheme_1,48.835760494812085
2022-01-14,Scheme_1,49.0727042018169
2022-01-17,Scheme_1,49.27793731200984
2022-01-18,Scheme_1,48.90739777633209
2022-01-19,Scheme_1,48.80761542047342
2022-01-20,Scheme_1,48.63132064505725
2022-01-21,Scheme_1,48.465161087399025
2022-01-24,Scheme_1,47.95152230469446
2022-01-25,Scheme_1,47.8053960437799
2022-01-26,Scheme_1,47.95304790160543
2022-01-27,Scheme_1,48.57151946717529
2022-01-28,Scheme_1,48.67211910360616
2022-01-31,Scheme_1,48.706729644348826
2022-02-01,Scheme_1,48.5860743901003
2022-02-02,Scheme_1,48.44511310646836
2022-02-03,Scheme_1,48.67945176423989
2022-02-04,Scheme_1,48.755156587547305
2022-02-07,Scheme_1,48.60509802991691
2022-02-08,Scheme_1,48.361695316895485
2022-02-09,Scheme_1,48.327417662863056
2022-02-10,Scheme_1,48.20330106148643
2022-02-11,Scheme_1,48.20678908553436
2022-02-14,Scheme_1,48.156304416275624
2022-02-15,Scheme_1,48.25486807067179
2022-02-16,Scheme_1,47.95445277779874
2022-02-17,Scheme_1,48.221077680450826
2022-02-18,Scheme_1,48.89576603320542
2022-02-21,Scheme_1,49.19247525324098
2022-02-22,Scheme_1,49.25117130052575
2022-02-23,Scheme_1,49.47323523753274
2022-02-24,Scheme_1,49.22856897834494
2022-02-25,Scheme_1,48.843775293222194
2022-02-28,Scheme_1,49.037611917272
2022-03-01,Scheme_1,48.910569768658014
2022-03-02,Scheme_1,48.5861268604503
2022-03-03,Scheme_1,48.3770628783145
2022-03-04,Scheme_1,48.10843658494831
2022-03-07,Scheme_1,48.14558324548228
2022-03-08,Scheme_1,48.29053101116658
2022-03-09,Scheme_1,48.50970928685824
2022-03-10,Scheme_1,48.731479264483994
2022-03-11,Scheme_1,48.92031320991626
2022-03-14,Scheme_1,48.87453214008562
2022-03-15,Scheme_1,48.72705876340058
2022-03-16,Scheme_1,48.36449209945694
2022-03-17,Scheme_1,48.63524788602957
2022-03-18,Scheme_1,48.59689118194163
2022-03-21,Scheme_1,48.50203410608425
2022-03-22,Scheme_1,48.792977521425755
2022-03-23,Scheme_1,48.57872562018076
2022-03-24,Scheme_1,48.78634998084168
2022-03-25,Scheme_1,48.86356935327314
2022-03-28,Scheme_1,48.614895349468405
2022-03-29,Scheme_1,48.601330883345135
2022-03-30,Scheme_1,48.84262762964094
2022-03-31,Scheme_1,49.041806757338406
2022-04-01,Scheme_1,49.41340492625522
2022-04-04,Scheme_1,49.50189970246391
2022-04-05,Scheme_1,50.34152524700426
2022-04-06,Scheme_1,50.11489001477691
2022-04-07,Scheme_1,50.02001290842199
2022-04-08,Scheme_1,50.0097927975071
2022-04-11,Scheme_1,49.66003669445923
2022-04-12,Scheme_1,49.923853557982376
2022-04-13,Scheme_1,50.154385062072585
2022-04-14,Scheme_1,50.16416525018078
2022-04-15,Scheme_1,50.03513889023333
2022-04-18,Scheme_1,49.666116263749466
2022-04-19,Scheme_1,49.47508589579962
2022-04-20,Scheme_1,49.66400930262049
2022-04-21,Scheme_1,49.61629176944304
2022-04-22,Scheme_1,49.51535516545825
2022-04-25,Scheme_1,49.64445366213768
2022-04-26,Scheme_1,49.93690582562184
2022-04-27,Scheme_1,50.006097620835305
2022-04-28,Scheme_1,50.089736043465116
2022-04-29,Scheme_1,50.43832607785713
2022-05-02,Scheme_1,50.48764298188759
2022-05-03,Scheme_1,50.41461549762937
2022-05-04,Scheme_1,50.58933377619912
2022-05-05,Scheme_1,50.52947895973033
2022-05-06,Scheme_1,50.44160169668424
2022-05-09,Scheme_1,50.76789167652768
2022-05-10,Scheme_1,50.6988593578596
2022-05-11,Scheme_1,50.030857258766495
2022-05-12,Scheme_1,50.12229313914757
2022-05-13,Scheme_1,50.028184410824174
2022-05-16,Scheme_1,49.96086226938804
2022-05-17,Scheme_1,50.07900380274869
2022-05-18,Scheme_1,50.04243087882495
2022-05-19,Scheme_1,50.1012154296538
2022-05-20,Scheme_1,49.59962337052354
2022-05-23,Scheme_1,49.37070702027567
2022-05-24,Scheme_1,49.72221626875221
2022-05-25,Scheme_1,49.722576554809656
2022-05-26,Scheme_1,49.31149400405645
2022-05-27,Scheme_1,49.051984417842185
2022-05-30,Scheme_1,48.81344800725672
2022-05-31,Scheme_1,48.84330906846145
2022-06-01,Scheme_1,48.742543055389845
2022-06-02,Scheme_1,48.586766200906084
2022-06-03,Scheme_1,48.59258138197553
2022-06-06,Scheme_1,48.71351716490021
2022-06-07,Scheme_1,48.65529753495826
2022-06-08,Scheme_1,48.520349827249206
2022-06-09,Scheme_1,48.42294565671966
2022-06-10,Scheme_1,48.51006361169445
2022-06-13,Scheme_1,48.513124560339236
2022-06-14,Scheme_1,48.70409570834987
2022-06-15,Scheme_1,48.42896807922553
2022-06-16,Scheme_1,48.24606733840315
2022-06-17,Scheme_1,48.43739697411351
2022-06-20,Scheme_1,48.24804844604479
2022-06-21,Scheme_1,48.58675353817516
2022-06-22,Scheme_1,48.93298403286517
2022-06-23,Scheme_1,49.278530600589285
2022-06-24,Scheme_1,49.06647502602911
2022-06-27,Scheme_1,49.09024649390348
2022-06-28,Scheme_1,48.97404190765557
2022-06-29,Scheme_1,49.20499433318893
2022-06-30,Scheme_1,49.62978226799595
2022-07-01,Scheme_1,49.851525508670804
2022-07-04,Scheme_1,49.85878995914629
2022-07-05,Scheme_1,49.772649103029266
2022-07-06,Scheme_1,49.93916019884247
2022-07-07,Scheme_1,49.63880772760759
2022-07-08,Scheme_1,49.77688701432436
2022-07-11,Scheme_1,49.55421236733369
2022-07-12,Scheme_1,49.71292167896012
2022-07-13,Scheme_1,49.67788963507196
2022-07-14,Scheme_1,49.58641664422753
2022-07-15,Scheme_1,49.371828358330475
2022-07-18,Scheme_1,49.28869977026673
2022-07-19,Scheme_1,49.430681242061965
2022-07-20,Scheme_1,49.69361801578349
2022-07-21,Scheme_1,49.82939294675746
2022-07-22,Scheme_1,50.174184073851976
2022-07-25,Scheme_1,50.81620357985716
2022-07-26,Scheme_1,50.73883820735087
2022-07-27,Scheme_1,50.69168490091666
2022-07-28,Scheme_1,50.33176343285552
2022-07-29,Scheme_1,50.63645362203762
2022-08-01,Scheme_1,50.970501500010464
2022-08-02,Scheme_1,50.754604177922204
2022-08-03,Scheme_1,50.916420221530174
2022-08-04,Scheme_1,51.23135630424429
2022-08-05,Scheme_1,51.29444471468555
2022-08-08,Scheme_1,51.51690908882925
2022-08-09,Scheme_1,51.56709506166059
2022-08-10,Scheme_1,51.25850341161408
2022-08-11,Scheme_1,51.53256914640147
2022-08-12,Scheme_1,51.87915289895745
2022-08-15,Scheme_1,52.07486727949414
2022-08-16,Scheme_1,51.83154817504568
2022-08-17,Scheme_1,51.64205736717533
2022-08-18,Scheme_1,51.35533342106847
2022-08-19,Scheme_1,51.558181174640175
2022-08-22,Scheme_1,51.89031627673821
2022-08-23,Scheme_1,52.005638935661956
2022-08-24,Scheme_1,52.2554052697439
2022-08-25,Scheme_1,52.03393612634311
2022-08-26,Scheme_1,52.07708835151837
2022-08-29,Scheme_1,51.725601580099514
2022-08-30,Scheme_1,51.531170022480126
2022-08-31,Scheme_1,51.762718519512774
2022-09-01,Scheme_1,51.70588447593244
2022-09-02,Scheme_1,52.023715886698035
2022-09-05,Scheme_1,52.168851650239105
2022-09-06,Scheme_1,52.887326855230214
2022-09-07,Scheme_1,52.917410602676576
2022-09-08,Scheme_1,52.55058571875078
2022-09-09,Scheme_1,52.54676800906041
2022-09-12,Scheme_1,52.299005892401325
2022-09-13,Scheme_1,52.55976350609286
2022-09-14,Scheme_1,52.57605179374604
2022-09-15,Scheme_1,52.54522334809763
2022-09-16,Scheme_1,52.51786504993984
2022-09-19,Scheme_1,52.71752243228455
2022-09-20,Scheme_1,52.60353074511082
2022-09-21,Scheme_1,52.8131689120688
2022-09-22,Scheme_1,53.09454986257732
2022-09-23,Scheme_1,53.009030016463605
2022-09-26,Scheme_1,52.76888675429312
2022-09-27,Scheme_1,52.63882059919258
2022-09-28,Scheme_1,52.83098104579923
2022-09-29,Scheme_1,52.86069289145407
2022-09-30,Scheme_1,53.03250994988316
2022-10-03,Scheme_1,53.50527819608287
2022-10-04,Scheme_1,53.57241493988548
2022-10-05,Scheme_1,53.36108866735074
2022-10-06,Scheme_1,53.64855112429421
2022-10-07,Scheme_1,53.66769315788455
2022-10-10,Scheme_1,53.90717105896928
2022-10-11,Scheme_1,54.19994051257269
2022-10-12,Scheme_1,53.94546959773691
2022-10-13,Scheme_1,54.32362858148813
2022-10-14,Scheme_1,54.57490849021442
2022-10-17,Scheme_1,54.41557585173752
2022-10-18,Scheme_1,54.50385128019933
2022-10-19,Scheme_1,54.57939565951002
2022-10-20,Scheme_1,54.59138451892887
2022-10-21,Scheme_1,54.83483861653421
2022-10-24,Scheme_1,55.23440811188899
2022-10-25,Scheme_1,55.24194936856905
2022-10-26,Scheme_1,55.61507595818295
2022-10-27,Scheme_1,55.89543228200507
2022-10-28,Scheme_1,55.96594329612686
2022-10-31,Scheme_1,56.02084054792367
2022-11-01,Scheme_1,55.70360422744434
2022-11-02,Scheme_1,55.29118354480573
2022-11-03,Scheme_1,55.342334192256914
2022-11-04,Scheme_1,55.11102290459949
2022-11-07,Scheme_1,55.10561206523097
2022-11-08,Scheme_1,54.96380803824688
2022-11-09,Scheme_1,54.47779152616659
2022-11-10,Scheme_1,54.580565117054086
2022-11-11,Scheme_1,54.47289627257993
2022-11-14,Scheme_1,54.50018684295434
2022-11-15,Scheme_1,54.26226075270852
2022-11-16,Scheme_1,54.17684727487061
2022-11-17,Scheme_1,54.604947342582584
2022-11-18,Scheme_1,54.64550544026543
2022-11-21,Scheme_1,54.80112937657927
2022-11-22,Scheme_1,54.45838343796862
2022-11-23,Scheme_1,55.11434445738628
2022-11-24,Scheme_1,55.62784859609983
2022-11-25,Scheme_1,56.01263629626549
2022-11-28,Scheme_1,56.250344396286614
2022-11-29,Scheme_1,56.26022850381328
2022-11-30,Scheme_1,56.39021045268627
2022-12-01,Scheme_1,56.69133974334377
2022-12-02,Scheme_1,56.51883657178544
2022-12-05,Scheme_1,56.39887569603818
2022-12-06,Scheme_1,55.93382964140488
2022-12-07,Scheme_1,55.72356904032285
2022-12-08,Scheme_1,56.19200970563863
2022-12-09,Scheme_1,56.10371882765918
2022-12-12,Scheme_1,56.02016723217639
2022-12-13,Scheme_1,56.1147760603896
2022-12-14,Scheme_1,55.668038666492926
2022-12-15,Scheme_1,55.936743192751514
2022-12-16,Scheme_1,56.296530242303454
2022-12-19,Scheme_1,56.40836224842169
2022-12-20,Scheme_1,56.879753107869654
2022-12-21,Scheme_1,56.508091766812996
2022-12-22,Scheme_1,57.0346668834461
2022-12-23,Scheme_1,56.83198238757871
2022-12-26,Scheme_1,56.47396370712585
2022-12-27,Scheme_1,56.412578778488815
2022-12-28,Scheme_1,56.94624337598378
2022-12-29,Scheme_1,56.9464022158843
2022-12-30,Scheme_1,56.68655815821736
2023-01-02,Scheme_1,56.29147241339704
2023-01-03,Scheme_1,56.30100193886733
2023-01-04,Scheme_1,55.672132728569025
2023-01-05,Scheme_1,55.28236338405233
2023-01-06,Scheme_1,55.83841583469708
2023-01-09,Scheme_1,56.326420295701126
2023-01-10,Scheme_1,56.328083452715276
2023-01-11,Scheme_1,56.21576589490015
2023-01-12,Scheme_1,56.28047324414516
2023-01-13,Scheme_1,57.11837589259438
2023-01-16,Scheme_1,57.30285985333195
2023-01-17,Scheme_1,57.66148573607231
2023-01-18,Scheme_1,57.63757091423379
2023-01-19,Scheme_1,57.704740566032086
2023-01-20,Scheme_1,57.974970491617576
2023-01-23,Scheme_1,58.065212531544326
2023-01-24,Scheme_1,57.45063511512558
2023-01-25,Scheme_1,57.938002903512746
2023-01-26,Scheme_1,57.770515604982975
2023-01-27,Scheme_1,58.54856347003937
2023-01-30,Scheme_1,58.83668628327928
2023-01-31,Scheme_1,58.90881032282848
2023-02-01,Scheme_1,59.11121880608289
2023-02-02,Scheme_1,59.1200271265425
2023-02-03,Scheme_1,58.99477563829821
2023-02-06,Scheme_1,59.11545473589356
2023-02-07,Scheme_1,59.47664678311029
2023-02-08,Scheme_1,59.358456069854356
2023-02-09,Scheme_1,59.18433261020152
2023-02-10,Scheme_1,59.10544392851083
2023-02-13,Scheme_1,59.4903425136137
2023-02-14,Scheme_1,60.05641105806321
2023-02-15,Scheme_1,60.234903724735794
2023-02-16,Scheme_1,60.4931840531004
2023-02-17,Scheme_1,60.313022941201275
2023-02-20,Scheme_1,60.67855169945251
2023-02-21,Scheme_1,60.92796615709612
2023-02-22,Scheme_1,60.71710861689492
2023-02-23,Scheme_1,60.11442879519042
2023-02-24,Scheme_1,59.72227709048624
2023-02-27,Scheme_1,59.53025704758574
2023-02-28,Scheme_1,59.9929038164157
2023-03-01,Scheme_1,60.59986154250269
2023-03-02,Scheme_1,60.48853309734151
2023-03-03,Scheme_1,60.388878715917265
